,Indonesia (IDR),Malaysia (MYR),Thailand (THB),Filipina (PHP)
Ticker,IDRUSD=X,MYRUSD=X,THBUSD=X,PHPUSD=X
Date,,,,
2003-12-10,0.00011761661153286695,0.26263952255249023,0.02507396787405014,0.018132366240024567
2003-12-11,0.00011845253175124526,0.2644663155078888,0.025299161672592163,0.018132366240024567
2003-12-12,0.00011804423411376774,0.2630540430545807,0.025286367163062096,0.01807337813079357
2003-12-15,0.00011818654456874356,0.263650506734848,0.02522704377770424,0.018132366240024567
2003-12-16,0.00011793426529038697,0.26314404606819153,0.025262732058763504,0.01809627190232277
2003-12-17,0.00011794260353781283,0.2635740637779236,0.025291483849287033,0.01809627190232277
2003-12-18,0.00011820469808299094,0.2641938030719757,0.025262095034122467,0.01809627190232277
2003-12-19,0.0001178050588350743,0.26330339908599854,0.025260817259550095,0.018091360107064247
2003-12-22,0.0001176705991383642,0.26286736130714417,0.025265924632549286,0.018102822825312614
2003-12-23,0.00011768304830184206,0.26311635971069336,0.02527230978012085,0.018102822825312614
2003-12-24,0.00011763045040424913,0.2637895941734314,0.025379421189427376,0.018102822825312614
2003-12-25,0.0001177343146991916,0.26369917392730713,0.025288287550210953,0.018102822825312614
2003-12-26,0.00011767612886615098,0.2633172869682312,0.025249337777495384,
2003-12-29,0.00011816140613518655,0.2631925344467163,0.0252998024225235,0.018102822825312614
2003-12-30,0.00011829000141005963,0.26375481486320496,0.025297243148088455,0.018102822825312614
2003-12-31,0.00011898671073140576,0.2623019516468048,0.02528253197669983,0.018102822825312614
2004-01-01,0.00011995010572718456,0.2621438205242157,0.025484198704361916,0.018102822825312614
2004-01-02,0.00011840764636872336,0.2630263864994049,0.025294043123722076,0.018048912286758423
2004-01-05,0.00011947716848226264,0.2633519470691681,0.025473812595009804,0.018086452037096024
2004-01-06,0.00011959148105233908,0.26350459456443787,0.025620002299547195,0.01823154091835022
2004-01-07,0.00011948430619668216,0.2627982795238495,0.025660764425992966,0.018211619928479195
2004-01-08,0.0001199328398797661,0.2632410228252411,0.025654181838035583,0.018211619928479195
2004-01-09,0.00012020531721645966,0.264151930809021,0.025654181838035583,0.018112661316990852
2004-01-12,0.00011990407801931724,0.26195839047431946,0.025625914335250854,0.018211619928479195
2004-01-13,0.00012063308531651273,0.264319509267807,0.025825778022408485,0.018211619928479195
2004-01-14,0.00011932035704376176,0.2617458403110504,0.02556760050356388,0.018211619928479195
2004-01-15,0.0001196114972117357,0.2634560167789459,0.02567262202501297,0.018211619928479195
2004-01-16,0.0001197647798107937,0.2636643946170807,0.0255832988768816,0.01804240047931671
2004-01-19,0.0001191667906823568,0.26237764954566956,0.02564760111272335,0.01805705949664116
2004-01-20,0.00011915116192540154,0.2633380591869354,0.025620002299547195,0.01805705949664116
2004-01-21,0.0001194343640236184,0.2640612721443176,0.02574731595814228,0.01805705949664116
2004-01-22,0.00011907172302016988,0.26336580514907837,0.025666693225502968,0.01805705949664116
2004-01-23,0.00011880717647727579,0.26265332102775574,0.025519968941807747,0.018008284270763397
2004-01-26,0.000117600015073549,0.2618692219257355,0.025337625294923782,0.01805705949664116
2004-01-27,0.00011867041030200198,0.26308172941207886,0.025593776255846024,0.01805705949664116
2004-01-28,0.00011715363507391885,0.25960540771484375,0.025495894253253937,0.017985612154006958
2004-01-29,0.00011885800631716847,0.2636922299861908,0.0255284383893013,0.017985612154006958
2004-01-30,0.00011844972323160619,0.26352545619010925,0.025604261085391045,0.01792275346815586
2004-02-02,0.00011831099254777655,0.26340049505233765,0.025538217276334763,0.017985612154006958
2004-02-03,0.00011819213250419125,0.2627016305923462,0.025625914335250854,0.0178450345993042
2004-02-04,0.0001183515923912637,0.2629779577255249,0.025631824508309364,0.01789228804409504
2004-02-05,0.00011805120448116213,0.2624534070491791,0.02567196451127529,0.01789228804409504
2004-02-06,0.0001183235872304067,0.2638174295425415,0.02563905529677868,0.01789228804409504
2004-02-09,0.00011865633132401854,0.26362964510917664,0.0257069393992424,0.017972681671380997
2004-02-10,0.00011881423415616155,0.26227444410324097,0.02563379518687725,0.017972681671380997
2004-02-11,0.000118944255518727,0.2634907066822052,0.025743337348103523,0.017972681671380997
2004-02-12,0.0001190702969324775,0.26336580514907837,0.025766553357243538,0.017972681671380997
2004-02-13,0.00011889333836734295,0.2632063925266266,0.025636423379182816,0.017972681671380997
2004-02-16,0.00011917246592929587,0.2630402147769928,0.025708263739943504,0.01790510304272175
2004-02-17,0.00011916251969523728,0.26348379254341125,0.02568713016808033,0.01790510304272175
2004-02-18,0.0001183558051707223,0.2614789307117462,0.025479653850197792,0.01790510304272175
2004-02-19,0.00011912277841474861,0.26473236083984375,0.02568977139890194,0.01787629723548889
2004-02-20,0.0001183179920190014,0.26277756690979004,0.02554604597389698,0.01776830106973648
2004-02-23,0.0001185114961117506,0.26319944858551025,0.025508252903819084,0.01785714365541935
2004-02-24,0.00011823685781564564,0.26283973455429077,0.025514109060168266,0.01785714365541935
2004-02-25,0.00011849182919831946,0.26314404606819153,0.02549329400062561,0.01785714365541935
2004-02-26,0.0001181097686639987,0.26332420110702515,0.025471866130828857,0.017847582697868347
2004-02-27,0.00011886649008374661,0.26438242197036743,0.0254900474101305,0.017831668257713318
2004-03-01,0.00011832219024654478,0.26344212889671326,0.025490695610642433,0.017844395712018013
2004-03-02,0.00011735023144865409,0.263012558221817,0.025430409237742424,0.017844395712018013
2004-03-03,0.00011770660057663918,0.2653505206108093,0.02534918487071991,0.017844395712018013
2004-03-04,0.00011677195288939402,0.26256367564201355,0.02527422457933426,0.017844395712018013
2004-03-05,0.00011598102719290182,0.26313018798828125,0.02548874542117119,0.017801513895392418
2004-03-08,0.00011704530334100127,0.26434046030044556,0.02536783553659916,0.017844395712018013
